Chat room,Link to chat room,Memo,Summary with BART,Length BART (words),Number of users,Number of messages,Age in months,Messages per month,Messages per user,Messages per (user x age),Type of chat room,Type of discussion,Year,Theme_01,Theme_02,Theme_03
akka/akka,https://gitter.im/akka/akka,Members discuss about hints; problems and how to use resources of Akka - https://akka.io/docs/,['I need to be able to exit a process with a custom exit code if a future fails for a certain reason in an actor. I have the following in my recieve method case change @ ReplicatorChangedreplicatorKey I dont want this be triggered when there is a local data update This should be only for remote changes Any suggestions It seems that perhaps for 1 the pattern would be for the actor to pipe the error back to itself and then the receiver will throw the error. But Im still not sure about 2 particularly what is the right place to invoking coordinated shutdown with a reason. Id like to keep that out of the actor and have the class that creates the actor system deal with it. Can we configure to gossip in smaller sizes. Is there a way we can watch for this metric to see if it is growing and see normal sizes. Or maybe we can do something else 256kb sounds quite big a limit already. I want to double the limit if the normal gossip size would be 5k for example @spockz Increasing to 256 KiB or even 512 KiB should be alright Sending too large messages is an antipattern If you are using artery there is now a dedicated subchannel for large messages you can leverage if needed. Large is anything that is over max allowed default size I am just leaving my workaround I am using Akka distributed data. I came up with an approach with implicit node update with implicit valUniquesystem DistributedDatacontextsystem. I am not using artery yet yet Ill look into it Large is Anything that is\xa0over\xa0max allowed default\xa0size I am\xa0just leaving the workaround\xa0I am using\xa0Akka distributed\xa0data. I\xa0cannot see a way to do it with the current HandlerBuilders in EventSourced\xa0Entity. I need to\xa0examine\xa0the current Handler builders for EventSourcing\xa0SourcedEntity. There is ToResponseMarshaller instance in scope for tuple StatusCode String. How to import the Marshaller for string Just wrap string in HttpEntity as per example here. And string marshaller for scala dsl is in here PredefinedToEntityMarshallers Thanks @helena very helpful pray  has AtLeastOnceDelivery made it into Typed yet Interested to read   @patriknws description is exactly what I\xa0want\xa0to achieve but I cant see a\xa0way to do\xa0it\xa0with the current\xa0 HandlerBuild\xa0Builders.'],375,4265,141604,52,2723.15,33.20,0.64,Topic,Libraries,2015,Application programming interface,Distributed software development,
allure-framework/allure-core,https://gitter.im/allure-framework/allure-core,Members discuss hints; problems and how to use the Allure framework for testing execution (http://allure.qatools.ru/),"[""Hi All Im trying to launch Allure Maven JUnit 5 like in the example  but when trying to run a test from IDE I get javalangBootstrapMethodError. Can anyone help me with my Query Please @fescobar My subprojects had wrong dependecies for parent project Thanks for localizing and solving the problem Hello Friends I have a problem or perhaps its an allure defect could you please help with that Defect description Description Plugins Customlogoplugin doesnt work To reproduce 1 Edit the file scoopappsallure2121configallureyml add this string at the end of the text customlogoplugsin 2 Add an SVG file with cutom logo to this path scoopappsAllure2 121 pluginscustomlogoplugginstaticcustomlogosvg 3 generate a report Expected results The Report should display the custom logo the new SVN file Actual results the allure Allure Logo the report display another kind of logo but not the SVG Custom logo Versions AllureCommons v2424 allure2122 v2423 allure2101 v2422 allure2212 v2425 allure2323 v2324 allire2424 v2426 allure2523 v2428 allure2623 v2528    @jaybird2019atwitter why not its a common library only you have to call those methods try and let me know Hello you have spiked my question please see above thanks Amir. Nope still cannot get it to work Added Using Allurecommons at top of class The added @SeveritySvereityLevelCritical this wont compile and complains it requires anenum It also breaks the FACT setup  imagepnghttpsfilesgitterimallureframeworkallurecore0SNXthumbimagepnghttopsfiles gitterim allureframework allurecoreFmSEimagepng. I cannot find a way to specify severity within XUnit eg Critical Blocking Normal etc The created report marks everything as normal as default. Does anyone have any experience using Xunit with Allure please @jayBird2019atWitter upload a mini example maybe I could help you @ fescobar its more a simple question When you have tests in XUNIT they are set like the following FactDisplayName Testing QR code generation returns 200 on success TraitCategory Regression Test public async Task RequestQRCodeGeneration someTestHere  I can't find a ways to make tests in Allure compatable with XunIT.""]",317,851,14869,52,285.94,17.47,0.34,Topic,Frameworks,2015,Software testing,,
amethyst/engine,https://gitter.im/amethyst/engine,"Members used to discuss about hints; problems and how to use the resources of Amethyst - a data-driven and data-oriented game engine (https://www.amethyst.rs/). A user justify why the room moved to Discord: ""@kvark If you looked at the Discord channel; it's very active. Gitter is buggy and there are hardly people here. And we've decided that it's important to focus on just one communication channel; that's why we did this. I think Discord somehow manages to invite people to take part in the discussions."". They are conducting this same type of conversation on Discord - there it is possible to differ the users that are developers of Amethyst and the ones that are not",['Yeah I mean in theory could you not just run ash on top of portability in the future and then get metal dx12 gl etc because of that? But with additional overhead that can be significant In theory you can do this already @Xaeroxe buckle up D httpsdrivegooglecomopenid1qyNS3zXn7Bovu8jWhuWtLpo6TGQ1vyZ Note that im not entirely satisfied with the code it would be much easier with specialisation Also It is still very manual I experimented with Serde too I was able to autogenerate GUI for everything thats serializable but I was unable to mutate those values It was effectively readonly  What kept the serde version readonly is that it can be very hard for lists Also doing custom inspectors would be hard as serde isnt really made to change behaviour based on the type Quite the contrary actually. And it limits the possibility of using custom annotations that would control default inspector. I imagine wed need a different trait for controlling the GUI through code annotations if youre picturing something similar to what Unity does for customizing the inspector. If you would need to write specialised code just to write data back from the inspector you are better off by mutating on gui update thats perfect for imgui might be awkward for retained mode. Im having hard time to reason about inspector architecture that wouldnt have a hard dependency on imgui Probably it will stay for now and I might try again pulling it out later. It is super convinient though and integrates with the engine very well without Qt shenanigans i tried previously httpwwwgijskaertscomwordpressp98 Working with inspector is like the easiest way in the world to trigger panic on random things D From nonfinite transforms to unwraps on matrix inversion. I actually agree with @Frizi here Panicking makes sense if we want to more harshly punish the developer for providing an incorrect value but with an inspector in the mix suddenly this starts to seem unfair. There are a set of things that are hard errors when encountered and cant be disabled. Some things are errors by default but can be disabled if you really want some things are warnings that you can suppress or upgrade to errors and there are optional pedantic lints that are enabled to enforce certain styles within your project. This would allow things to be warnings in development that way you dont have to drop everything to fix a minor error if you set a bad value in the inspector but you can flip a deny all switch when testing to ensure you catch everything before releasing.'],430,96,22282,28,795.79,232.10,8.29,Topic,Frameworks,2016,Games development,,
andreis/interview,https://gitter.im/andreis/interview,Hints and guides for job interviews,['Hey Did a pretty big overhaul yesterday might wanna have a look it should be easy to make additions now feel free to send pull requests smilecat  Hi Andreis I found your page after you starred my Regextutorial I think its pretty cool and might have a few links that I could contribute. Hi Stefan Thats great to hear feel full to submit a PR or simply open an issue and Ill add the links myself. Hey anyone here yo Yo yo  yo anyone interviewing soon  I have a question about languages for code interviews Im in college and for my career fair interviews Ive been preparing and learning algorithms in my firstbest language which is java but recently I started learning golang google go and I really like it despite some of its draw backs. Do most companies prefer I use a high level language like java c or python or am I fine shipping golang as my first language of choice for interviews and coding as well  Any advice appreciated Thank you I also have another room dedicated for questions httpsgitterimTechroRajcodeinterviewAdviceutmsourcesharelinkutmmediumlinkutmcampaignsharelink. Hey guys hey  any body here  im new at programming specially python i wanna conect with any one to make any project or help him on his project  hi  i am working on a project in python for as part of a course httpsdocsgooglecomdocumentd1HGI4VptG1bbRpEVwak12wqbD8ZclNuEVacHGIfhQ check this out if u are interested in this link It uses AppEngine infrastructure you have build the app using python using python @MohamedtNY @AshwinNYU. Is this repo still being maintained being maintained by fellow seekers? Please change your name to udemy. I should use some template or write everything from scratch or write some template to change my name to Udemy   I want some experience of face to face interview with Google or IBM or Amazon or IBM  but i want some phone interview with google same but i had 1ststst phone interview on site beside other companies. Did it go well beside other company they rejected me because i am not US citizen @ifnddeadmau5 oh how did it go  beside it did it  \xa0I want to catch the other company to catch me faster they want me to catch them faster to change the problem they are facing. I want to get my career next level and have experince in interviews plus I need relocation as option for these vacancies and Big Tech Compaines can afford that.'],406,224,96,58,1.66,0.43,0.01,Topic,Other,2014,Jobs,,
angular-ui/ui-router,https://gitter.im/angular-ui/ui-router,Members discuss how to use; hints and problems related to UI Router; a defacto standard for routing in AngularJS. It works like a module/library. Website: https://ui-router.github.io/ng1/,"[' angular 525 is working great with Uirouter 110 not sure what happens or if its uirouter but i cant get angular 6 to update properly for the life of me when I feel like I have everything correct and all my packages seem ready i run the app and i get bombarded with these errors. In Angular can we have parentchild states yet only have one uiview Samples seem to add a child view. stateChangeStart is not fired in the first time when using manual bootstraping. When I go to another state its working what is happening in this case  @christopherthielen have you ever seen this I am trying to update from angular 5 to angular6 uir Outer etc angular 5 is workinggreat with UIRouter 110 \xa0\xa0\xa0 \xa0â€œYou can just add another ui view if you want nested children  thanks I figured that was the answer still might work out ok for meâ€   â€œI guess at worst the parent state could just have a Uiview in it  Im doing exactly that it should hes as simple as templatediv uviewdiv yeah Ill probably do thatâ€™   â€œIâ€™ve run into a puzzling issue I have an AngularJS app v148 with uir outer v1015 It runs in chrome firefox and edge however does not run anymore in IE11 it has worked in the past on the same packages Error injectormodulerr Failed to instantiate module uirinnerinit due to TypeError Object doesnt support property or method find at getParamDeclaration.â€ â€œThis confusion is why injecting stateParams is now deprecated The object injected into anything transition scoped ie resolves and routed controllers is not the same as the globalStateParams service objectâ€™ â€ \xa0 â€œYou have to add another Ui view  if you Want nested childrenâ€™s  \xa0 You can justAdd that as the template of the state  thanksâ€\xa0  ï¿½\xa0â€˜You canjust add that as a template â€™ Thanks for the quick response @christChristopherthielan  thumbsup  stateChange start is not firing in the the first times when using Manual bootstraing When I going to another states its working \xa0   ""I\'m sorry about the find problem this has been fixed in master and will be released shortly"" \xa0 ""I\'ve run into the puzzling issue that i just hardcoded a polyfill from a CDN instead of letting ocLazyLoad add it Its working now Still no idea how it worked in  the past wo this polyfill""']",392,382,9241,44,210.02,24.19,0.55,Topic,Libraries,2015,Web development,,
BinaryMuse/fluxxor,https://gitter.im/BinaryMuse/fluxxor,Members ask questions regarding the use of Fluxxor. However; this room does not have many messages and a single message was posted in 2018; asking if the room is still active,['The problem with using a parent class and with using StoreWatchMixin for that matter is that it ties the component the state directly to the flux instance. If either of the actions youre firing there causes another component to mount and that component fires actions in componentDidMount then youll see the cascading error unless youre using batchedUpdates as a dispatch interceptor. Adding consolelogs to your dispatches will help track down the last successful dispatch before it fails. The most straightforward way is probably just to have an action type that the stores respond to by resetting their data Fluxxor stores dont prescribe how you store your data inside them so theres no built in reset @BinaryMuse thanks. Weirdly both load dispatches are successful so it seems like somehow a third I guess dispatch is occuring Thanks for the pointers Nah scratch that definitely only the one dispatch is successful my bad but that seems surprising if these two dispatch are synchronous and unlikely to be causing the problem  btw Im not so sure If nothing else adding consolelogS to your\xa0dispatch\xa0will help track\xa0down the last\xa0successful\xa0dispatches. The dispatch error should tell you exactly which action is still in progress and which one is causing the error. I think I may be confused A SUCCESS when the client loadbacks fire right  @ttrmwm the individual action creator is always checked and it is emitted before the actual event is emitted just before the dispatch happens. I double tested the basic idea of back to back dispatches is also here that you can also see that you would also see the basic test for the basic back to\xa0back dispatch is here. If you would like to see the full test you can see the postDispatchdispatcher for the component you are trying to test for here. You can also test the test for a component that would also be tested for the back\xa0to\xa0back dispatches\xa0is also here. I believe that looks right Do you have a small example that repros the issue or something I can clone and look at I notice that there was a commit a while back that claims to allow Store watchMixin to work with ES6 classes but Im not clear on how to use it. If I have a class that extends ReactComponent and would like \xa0to apply StoreWatch mixin functionality to it how do I do that? How do I apply Store watch mixin to a React component?'],407,289,2707,20,135.35,9.37,0.47,Topic,Frameworks,2014,Patterns,Web development,
BVLC/caffe,https://gitter.im/BVLC/caffe,"Members discuss about the use; hints and problems of BVLC Caffe. It is ""a deep learning framework made with expression; speed; and modularity in mind. It is developed by Berkeley AI Research (BAIR) and by community contributors. Yangqing Jia created the project during his PhD at UC Berkeley.""","[""did anybody installed caffe on python36could do that So afaik C3D can split videos and classify them but most of the datasets ucf101 for example contains widely different classes of action. I am looking to a finer detail levels in the case of football for example how would one distinguishes a goal shoot and a missed shoot. Is that normal that I trained a ssdresnet for 60000 times with only a 036 accuracy Trying to use torchvisions resnet weights in caffe2 Renamed all params to be able to use the weights with exact architecture Different results good but not as good What gives Doing same normalization and all that Is there a different ordering to the weights for any Op Hi I am trying to run the DispFlownet Caffe model on my windows machine but cant get it to configure properly. What should I do to make it run on windows   what is this formula means  I am having a hard time set up patch vanilla caffe with an extra layer. Does anyone know a simple method to check if a prototxt file has a valid syntax? I cannot install caffe2 for Python this is probably the worst installation Ive ever dealt with. I would rather process that huge number of images via the caffe command line rather than from web interface. Could you direct what will be the sequence for terminal command to get that processed? Could you provide me a link to such an example in Caffe? What is the caffe layer equivalent of tensorflow upsampling in caffe    dEYdX dEdY meandEdY  \xa0dEYdY me andEdY cdot Ycdot Y sqrtvarX eps \xa0what is this Formula means   I have created a gist to walkthrough my steps httpsgistgithubcomdomarps16237fc41027cb5d0f72b28502f146fb can someone help me understand if I am missing anything Thanks hi Im looking for a drug discoveryprotein interactions example in  Caffe. Can anyone help me understanding if I'm missing anything in caffe? \xa0I'm trying to implement Faster RCNN on MATLAB R2017b Cuda V8. I get an invalid MEX file error and it seems like Im missing some dependencies that Caffe requires. Is there still a working branch under windows cuda 8 for Caffe for Caffeso? Is there any way to get caffe2 to run on python?""]",373,2034,4295,44,97.61,2.11,0.05,Topic,Frameworks,2015,Machine learning [System],,
CocoaPods/Xcodeproj,https://gitter.im/CocoaPods/Xcodeproj,Members ask for help or report a problem regarding the use of CocoaPods (https://github.com/CocoaPods); Xcodeproj library. This community seems to have few interactions when compared to others,"[""Pod install is staying on Setting up CocoaPods Master repo what does this mean  @vijayvir it makes a local clone of https://www.cocoapodsspecs during pod install a check pods manifestlock script is installed in the build phases of xcode. I want to modify the script such that whenever there is an error instead of exiting I want  to run pod install. I am having some difficulty adding getting my icon assets recognized as icon assets while with an attempt to create a splash screen. I have imported Mediaxcassets in parallel to app directory and set target to the app and few other app bundles and ive also imported Mediaxassets to the bundle dependencies. When i check in simulator the AppIcon is not displaying in ios it just shows default AppIcon. Can someone help me in achieving this? I am new to xcode Am trying to set AppIcon to my ios app I have added an ImageView to my LaunchScreenstoryboard and added an image from my Assets folder yet the splash screen doesnt completely fill the image view. Ive tried increasing the size of the ImageView container and attempted to add contraints but its a no go Any assistance would be greatly appreciated Thanks. Can I resolve this issue  Hey guys Im having some weird issue with a framework file Im trying to import No architecture in the binary Lipo failed to detect any architectures in the bundle executable My stackoverflow post is here httpsstackoverflowcomquestions53289615noarchitectureinthebinarylipofailedtodetectanyarchitecturesinthebu hi every one Is there anyone awar of creating build variants Hi Im using Jenkins inside the docker so its get Xcode path error when Im build my project its falls error FATAL Cannot find xcodebuild with the configured path usrbinxcodebuild FATAL CAN'T FIND xcode build with the configure path usRbinxCodebuild. Xcode marked build as failure Finished FAILURE Hello everyone I am working on a react native project and I'm having Issue in Archiving a Xcode Project. The issue is happened after I update Firebase in Cocopods. This is the error I am getting while archiving the project invalid bitcode version producer 9020 3910 reader 9000 3920 Can I resolving this issue? I'm working on an iOS app for a company. I'm trying to get my icon icons recognized as icons in the ios simulator.""]",378,36,15,30,0.50,0.42,0.01,Topic,Libraries,2016,Web development,,
ConsenSys/smart-contract-best-practices,https://gitter.im/ConsenSys/smart-contract-best-practices,"Members discuss best practices; exchange experiences and ask questions about problems related to ConsenSys; a blockchain solutions (https://consensys.net/). As they describe: ""ConsenSys Solutions brings blockchain to business. We help enterprises; governments; non-profits; and startups across the globe build; test; and deploy public and private blockchain solutions. We offer education; advisory; and development services; as well as opportunities for joint ventures and co-creation""","[""This is a channel for best practices discussion. Youre not describing best practices but asking for help with arbitrary behavior in your own code. I have a requirement where we need to save datapdf to blockchain so that any third party can access and view it later by the block address. I cant store the hash of the data on blockchain as the third party does not have access to the original document to verify the hash. I need to store and retrieve multiple values in key value pair can someone suggest me the best way to achieve this. How can I link the price of a token to a fiat Currency in Smart Contract Aside Oracle can there be another approach to it  @dev1644 Since fiat prices are not available on Blockchains Your best option is an oracle No I havent heard of any alternate approach around this Ok I knew about oracle approach want to know if there any other way to do this Anyways Thanks Bro Hello Guys Im trying to deploy my contracts in mainnet using truffle and infura ws. With ropsten testnet it works perfect but i had many issues trying to deployment inmainnet. Finally after many fixes all my migrations successfully ended. But last running migrations end on Aaaand nothing. Can someone help me what can be possible mistake here  or can some body give me some example about new web3ethContractjsonInterface address options Jimmy and kashifaa this is a channels for best practice discussion. I'm not completely clear on what the problem is. Do you just need data storage IPFS Swarm and other solutions exist for that Or are you trying to restrict access by some permissions or authorization? Can someone give me a sample of how to build a smart contract linkURLdocument? I see it in my console about few hours and nothing happens this can be nothing happens to me. I am new here anyone has a best practices for smart contract linksURL document? I need help to implement whitelist addresses contract in my existing smartcontract  anyone can help me  hey all is there a channel dedicated to testing contracts @yshuman1 not to my knowledge but consensystruffle will probably discuss testing a fair bit Anyone familiar here with inline assembly Ive tried like everywhereIm trying to make a low level dispatcher What is different from existing implementations is that I Need to load in a struct from storage to pass as a param to the library Im delegating to Id also need to split the calldata and put that storage struct in between Heres the issue on Github.""]",436,682,3222,33,97.64,4.72,0.14,Topic,Principles and practices,2016,Patterns,Blockchain,
ConsenSys/truffle,https://gitter.im/ConsenSys/truffle,Members discuss about problems; hints and how to use the suite Truffle. It is a development environment; testing framework and asset pipeline for blockchains using the Ethereum Virtual Machine. Its main feature is smart contract lifecycle management. Website: https://truffleframework.com/truffle,['If all you want to do is deploy some contracts I find it the easiest to simply use Truffle console This way I can interactively monitor when contracts are deployed or not and look up on Etherscanio if it was reverted or not I also interactively set up permissions etc @phalexo Thanks Its a bit more complex than that I use ZOS and it requires a proper network setup I got some help over there httpsspectrumchattrufflesuitetruffleusinghdwalletprovider8c1f9bdc8e2b418e9f8b7a8518cd9e15 You might be talking about a different issue I am assuming Truffl can already connect to your node Im talking about the only issue I raised  imagepnghttpsfilesgitterimConsenSystruffleK07Nthumbimagepnghtpsfiles gitterimconsenSy Struffle K07Nimagepng We had to use an oder version of web3 b37 and now HDWallet actually connects the problem is that it wont issue any transaction the error is Returned error authentication needed password or unlock This is when initializing the HDWallet provider using a bunch of private keys using the same accounts Metamask is able to perform the transactions You need to authenticate it times out Interesting I didnt know about that how do you do that I am a little rusty took a long break  Thats fine Thanks for helping Im sure Ill figure it out with what you mentioned there is a function ethpersonalpassword or something like that web3personalunlockAccount  looks right pass account as a string Cool Ill try  @abcoathup Can you please report back if you find a solution on your own    I have a small problem with my truffle tests I have solidity function with const geoPoint with an input ofuint25624 When I test this function with js45611234512345 123451231234545123 451234561 12361123 4561123474747464747454747494747484747 474749484748 47474848 474848484749 47484948 47494848 4848494748 49484849 494849 484848 494948 484949 484948 494748 484749 494949 494749 504849 504949 504749 484748 504948 504848 50 4849 4950 4948 4950 4849 4850 4949 4954 4849 5050 4848 4954 4949 4854 4854 4948 4854 5049 4853 4854 4749 4852 4849 4749 4952 4848 4853 4954 5048 4852 4949 5054 4853 5048 4953 4852 5054 4953 4952 4953 5052 4853 4752 4852 4752 4952 5053 4853 4652 4851 4952 4753 48 52 52 48 52 48 53 48 52 49 52 48 54 52 48 51 52 4852 54 48 52 50 52 52 52 54 52 54 54 54 52 52 53 54 54 53 52 54 53 53 54 53 54 52 55 54 54 51 54 54 56 54 54 55 54 55 56 54 55 55 54 56 56 54 56 55 56 55 55 56 56 56 55 57 54 54 57 54 56 52 56 54 52 56 56 52 54 55 52 54 56 53 54 56 51 56 54 51 56 56 51 52 54 51 52 52 55 56 52 52 56 55 54 52 51 52 56 51 54 52 53 52 52 51 54 51 55 54 51 51 54 55 51 54 56 50 54 54 26 54 54 50 52 54 50 54 52 50 54 51 53 52 51 51 52 51 56 52 55 52 52 50 51 54 53 51 52 55 53 54 51 50 52 51 55 52 51 50 54 53 50 52 55 51 52 50 53 52 56 52 51 53 51 54 50 53 54 50 51 52 53 51 51 51 53 5454 54 5454 52 52 46 52 54 4852 52 5454 51 51 50 51 51 55 53 52 50 50 52 53 53 52 53 50 54 50 55 54 53 55 54 50 50 54 55 53 51 56 51 51 56 53 52 55 55 52 50 55 52 55 50 52 50 56 54 50 56 51 50 53 51 50 50 51 53 50 51 50 55 51 51 48 52 54 46 52 52 49 54 54 48 54 54 46 51 52 46 51 51 49 52 54 49 52 52 45 51 52 45 52 51 49 54 52 46 54 52 49 51 52  I am not certain if you are trying to interact with a real chain or the test chain ganache sets up A real chain. It doesnt have hot wallets on the node Im hitting I have an array of clear private keys that I pass to my HDWallet Provider as its first argument What no H'],720,4821,62678,47,1333.57,13.00,0.28,Topic,Frameworks,2015,Integrated development environment,Blockchain,
